iter	Logloss	Accuracy
0	0.6004942146	0.788427405
1	0.5499826507	0.7946396876
2	0.5113270999	0.7964146255
3	0.4819864196	0.8012069578
4	0.4583974184	0.8054668087
5	0.4417211684	0.8095491658
6	0.4310778885	0.8084842031
7	0.421499616	0.8123890664
8	0.4130189991	0.8150514732
9	0.4076042124	0.8196663117
10	0.4009037374	0.8187788427
11	0.3979852964	0.8191338303
12	0.3927299663	0.8214412496
13	0.3896164176	0.8217962371
14	0.3868169397	0.8237486688
15	0.3844665806	0.8244586439
16	0.3826052239	0.8267660632
17	0.3798716991	0.8267660632
18	0.3767724386	0.8296059638
19	0.3740675264	0.8301384452
20	0.3722956074	0.8313809017
21	0.3713603464	0.831913383
22	0.3697911817	0.8338658147
23	0.3689090371	0.8340433085
24	0.3674482287	0.8347532836
25	0.3660016666	0.8345757898
26	0.3649345081	0.8347532836
27	0.3634254338	0.8365282215
28	0.3625934754	0.8365282215
29	0.3613870854	0.8370607029
30	0.3607617684	0.8370607029
31	0.3598736138	0.837770678
32	0.3595148893	0.8381256656
33	0.3588078995	0.837770678
34	0.3579133055	0.837770678
35	0.3571508363	0.838658147
36	0.3563362555	0.8390131345
37	0.3554409326	0.8393681221
38	0.3545722839	0.8393681221
39	0.3538976635	0.8400780973
40	0.3524282163	0.8399006035
41	0.3511465991	0.8407880724
42	0.3492563923	0.8414980476
43	0.3484729687	0.8427405041
44	0.3479078459	0.8425630103
45	0.3470619502	0.8430954917
46	0.3460914658	0.8439829606
47	0.3444575569	0.8448704295
48	0.3434015936	0.8448704295
49	0.3426100171	0.8468228612
50	0.3390471932	0.8478878239
51	0.3381193381	0.8477103301
52	0.3374328215	0.8485977991
53	0.3363040142	0.8498402556
54	0.3354239526	0.8501952432
55	0.3347907732	0.8516151935
56	0.333276619	0.8510827121
57	0.3325615133	0.8510827121
58	0.331658446	0.851970181
59	0.3301423603	0.8525026624
60	0.3289689988	0.8539226127
61	0.3284348627	0.8537451189
62	0.3249274311	0.8564075257
63	0.3245297001	0.8569400071
64	0.3237401415	0.8569400071
65	0.322836798	0.8571175009
66	0.3202379078	0.858714945
67	0.3193137073	0.8583599574
68	0.3185179192	0.8581824636
69	0.3179073651	0.857827476
70	0.3163040935	0.8583599574
71	0.3157108444	0.8580049698
72	0.3140063317	0.8585374512
73	0.3132957306	0.8594249201
74	0.3109282092	0.8608448704
75	0.3096896974	0.861199858
76	0.3085435256	0.8615548456
77	0.3071612899	0.8627973021
78	0.3050910776	0.8640397586
79	0.3035134347	0.8656372027
80	0.3016873167	0.8679446219
81	0.3006043709	0.8691870785
82	0.2998926724	0.8697195598
83	0.2990861391	0.8702520412
84	0.2979407021	0.8714944977
85	0.2972456653	0.8723819666
86	0.2941112739	0.8755768548
87	0.2915460887	0.8778842741
88	0.2905148725	0.8782392616
89	0.2896850802	0.8791267306
90	0.2876577519	0.8791267306
91	0.2867566463	0.8794817181
92	0.2856482182	0.8801916933
93	0.2841246899	0.8809016684
94	0.2832698628	0.8810791622
95	0.2826390128	0.8814341498
96	0.2821728272	0.8814341498
97	0.2815460483	0.8824991125
98	0.2806090844	0.882144125
99	0.2794699769	0.8828541001
100	0.2784881178	0.8832090877
101	0.2778434839	0.8835640753
102	0.2773696406	0.8839190628
103	0.2771920746	0.8839190628
104	0.2757050381	0.8848065318
105	0.2750711869	0.8848065318
106	0.2740517216	0.8853390131
107	0.2728842011	0.8853390131
108	0.2721977673	0.8862264821
109	0.2713404317	0.8869364572
110	0.2703372883	0.8878239262
111	0.2689897359	0.8887113951
112	0.2681475266	0.8897763578
113	0.2673809234	0.890486333
114	0.2666681464	0.890486333
115	0.2656167334	0.8910188143
116	0.2648784615	0.8910188143
117	0.2642909366	0.8910188143
118	0.2635867097	0.8919062833
119	0.2627882606	0.8919062833
120	0.2622975945	0.8920837771
121	0.2613679101	0.8927937522
122	0.2601996022	0.8935037274
123	0.2588723444	0.8956336528
124	0.2583584645	0.8956336528
125	0.2575908963	0.896343628
126	0.2566007005	0.8972310969
127	0.2554557474	0.8982960596
128	0.2545618958	0.898828541
129	0.2532713422	0.9006034789
130	0.2525927048	0.901313454
131	0.2516111635	0.9027334043
132	0.2506112206	0.9030883919
133	0.2500159654	0.9037983671
134	0.2492603097	0.9045083422
135	0.2475659822	0.9045083422
136	0.2468945211	0.9039758608
137	0.2461103129	0.904685836
138	0.2455264873	0.9050408236
139	0.2447825967	0.9052183174
140	0.2442159772	0.9057507987
141	0.2435824672	0.9062832801
142	0.2431077593	0.9066382677
143	0.2425666963	0.9075257366
144	0.2419579368	0.9077032304
145	0.2415087396	0.9087681931
146	0.2411139689	0.9096556621
147	0.2404264284	0.9094781683
148	0.239816732	0.9094781683
149	0.2395705787	0.9098331558
150	0.2391207167	0.9103656372
151	0.2383474945	0.9103656372
152	0.2380224867	0.910543131
153	0.2374018572	0.9107206248
154	0.2370301552	0.9112531061
155	0.2365871365	0.9117855875
156	0.2360139855	0.9119630813
157	0.2352612138	0.9126730564
158	0.2347976153	0.9135605254
159	0.2341116558	0.9135605254
160	0.2337043809	0.9135605254
161	0.2330535165	0.9142705005
162	0.2324909029	0.9148029819
163	0.2317502054	0.9149804757
164	0.2308400479	0.9158679446
165	0.2303454715	0.9162229322
166	0.229619804	0.9176428825
167	0.2289622347	0.9174653887
168	0.2284025335	0.9178203763
169	0.2277410628	0.9183528576
170	0.2268665912	0.9179978701
171	0.2265305026	0.9185303514
172	0.2260992814	0.918885339
173	0.2254988082	0.9195953142
174	0.2250056805	0.9203052893
175	0.2243859522	0.9210152645
176	0.2240097894	0.921370252
177	0.2236997435	0.9219027334
178	0.2226004141	0.922257721
179	0.222064772	0.922257721
180	0.2217004874	0.9220802272
181	0.2210493585	0.9227902023
182	0.2206233586	0.9226127086
183	0.2200563315	0.9226127086
184	0.2197204393	0.9231451899
185	0.2193445544	0.9229676961
186	0.218717054	0.9233226837
187	0.2182340199	0.9238551651
188	0.2178150881	0.9242101526
189	0.2173053818	0.9245651402
190	0.2167455966	0.9250976216
191	0.2164060748	0.9252751154
192	0.2161634275	0.9254526092
193	0.2156900474	0.9256301029
194	0.2151681757	0.9250976216
195	0.2142992055	0.9259850905
196	0.2138707052	0.9265175719
197	0.2134536555	0.9266950657
198	0.2131178524	0.9270500532
199	0.2124501505	0.9268725595
