iter	Passed	Remaining
0	19	3947
1	31	3165
2	40	2634
3	52	2555
4	61	2414
5	77	2501
6	87	2408
7	117	2809
8	124	2633
9	134	2557
10	147	2533
11	153	2403
12	162	2336
13	183	2442
14	197	2440
15	210	2424
16	221	2385
17	231	2342
18	241	2304
19	250	2257
20	262	2233
21	272	2205
22	281	2165
23	289	2119
24	302	2114
25	308	2061
26	315	2018
27	322	1980
28	326	1927
29	331	1877
30	337	1838
31	342	1799
32	348	1765
33	355	1737
34	362	1709
35	372	1695
36	377	1663
37	383	1632
38	389	1609
39	424	1698
40	434	1686
41	442	1663
42	449	1640
43	455	1613
44	460	1586
45	466	1562
46	476	1551
47	482	1528
48	488	1505
49	494	1483
50	499	1460
51	504	1435
52	509	1411
53	519	1403
54	524	1382
55	530	1364
56	539	1352
57	548	1343
58	555	1326
59	563	1315
60	568	1295
61	573	1276
62	581	1265
63	588	1251
64	597	1240
65	603	1225
66	608	1208
67	613	1190
68	621	1179
69	629	1168
70	635	1154
71	642	1143
72	649	1130
73	658	1120
74	664	1108
75	675	1102
76	687	1098
77	699	1093
78	708	1084
79	715	1073
80	724	1064
81	730	1051
82	739	1042
83	746	1030
84	753	1019
85	758	1005
86	764	992
87	770	981
88	778	970
89	785	960
90	791	948
91	796	935
92	803	924
93	809	912
94	815	900
95	824	892
96	832	883
97	840	874
98	846	863
99	852	852
100	860	843
101	870	836
102	876	825
103	884	816
104	891	806
105	898	796
106	902	784
107	907	773
108	914	763
109	920	752
110	925	742
111	930	731
112	983	757
113	1042	786
114	1049	775
115	1053	762
116	1058	750
117	1066	740
118	1071	729
119	1079	719
120	1086	709
121	1096	700
122	1105	692
123	1112	681
124	1118	671
125	1123	660
126	1129	649
127	1134	638
128	1140	627
129	1149	618
130	1167	615
131	1175	605
132	1181	594
133	1186	584
134	1191	573
135	1198	563
136	1207	555
137	1220	548
138	1228	539
139	1234	529
140	1240	519
141	1246	509
142	1256	500
143	1267	493
144	1276	484
145	1284	475
146	1292	465
147	1301	457
148	1311	448
149	1322	440
150	1328	430
151	1333	421
152	1339	411
153	1349	402
154	1354	393
155	1360	383
156	1365	373
157	1370	364
158	1375	354
159	1381	345
160	1386	335
161	1392	326
162	1397	317
163	1403	308
164	1408	298
165	1413	289
166	1419	280
167	1425	271
168	1431	262
169	1436	253
170	1441	244
171	1448	235
172	1453	226
173	1459	218
174	1465	209
175	1475	201
176	1481	192
177	1491	184
178	1498	175
179	1506	167
180	1519	159
181	1531	151
182	1537	142
183	1547	134
184	1555	126
185	1563	117
186	1570	109
187	1583	101
188	1594	92
189	1600	84
190	1615	76
191	1633	68
192	1657	60
193	1669	51
194	1675	42
195	1682	34
196	1691	25
197	1699	17
198	1706	8
199	1711	0
